ID;G0100;G0101;G0102;G0103;G0104;G0105;G0106;G0108;G0110;G0111;G0112;G0113
207;Poço Escavado-Cacimba;16.00;1.00;2.00;;;;;;;;
208;Poço Escavado-Cacimba;6.00;1.00;;;;;;;;;
209;;;;;;;;;;;;
210;Poço Tubular;10.00;;;;;;;;;;
211;;;;;;;;;;;;
212;;;;;;;;;;;;
213;Poço Escavado-Cacimba;10.00;;;;;;;;;;
214;;;;;;;;;;;;
215;;;;;;;;;Sem filtro;;;
216;;;;;;;;;Sem filtro;;;
217;;;;;;;;;Sem filtro;;;
218;;;;;;;;;Sem filtro;;;
219;;;;;;;;;Sem filtro;;;
220;;;;;;;;;Sem filtro;;;
221;;;;;;;;;Sem filtro;;;
222;;;;;;;;;Sem filtro;;;
223;;;;;;;;;Sem filtro;;;
224;;;;;;;;;Sem filtro;;;
225;;;;;;;;;Sem filtro;;;
226;;;;;;;;;Sem filtro;;;
227;;;;;;;;;Sem filtro;;;
228;;;;;;;;;Sem filtro;;;
229;;;;;;;;;Sem filtro;;;
230;;;;;;;;;Sem filtro;;;
231;;;;;;;;;Sem filtro;;;
232;;;;;;;;;Sem filtro;;;
233;;;;;;;;;Sem filtro;;;
234;;;;;;;;;Sem filtro;;;
235;;;;;;;;;Sem filtro;;;
236;;;;;;;;;Sem filtro;;;
237;;;;;;;;;Sem filtro;;;
238;;;;;;;;;Sem filtro;;;
239;;;;;;;;;Sem filtro;;;
240;;;;;;;;;Sem filtro;;;
241;;;;;;;;;Sem filtro;;;
242;;;;;;;;;Sem filtro;;;
243;;;;;;;;;Sem filtro;;;
244;;;;;;;;;Sem filtro;;;
245;;;;;;;;;Sem filtro;;;
246;;;;;;;;;Sem filtro;;;
247;;;;;;;;;Sem filtro;;;
248;;;;;;;;;Sem filtro;;;
249;;;;;;;;;Sem filtro;;;
250;;;;;;;;;Sem filtro;;;
251;;;;;;;;;Sem filtro;;;
252;;;;;;;;;Sem filtro;;;
253;;;;;;;;;Sem filtro;;;
254;;;;;;;;;Sem filtro;;;
255;;;;;;;;;Sem filtro;;;
256;;;;;;;;;Sem filtro;;;
257;;;;;;;;;Sem filtro;;;
258;;;;;;;;;Sem filtro;;;
259;;;;;;;;;Sem filtro;;;
260;;;;;;;;;Sem filtro;;;
261;;;;;;;;;Sem filtro;;;
262;;;;;;;;;Sem filtro;;;
263;;;;;;;;;Sem filtro;;;
264;;;;;;;;;Sem filtro;;;
265;;;;;;;;;Sem filtro;;;
266;;;;;;;;;Sem filtro;;;
