B0004;B0005;B0006;B0007;B0008;B0009;B0010
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
;;;9;;;
SITIO BANDEIERA;;;9;;63580000;998632646
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;23;;;
;;;4;;;
;;;4;;;
;;;4;;;
;;;4;;;
;;;4;;;
;;;4;;;
;;;4;;;
;;;4;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;2;;;
;;;3;;;
;;;3;;;
;;;3;;;
;;;3;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
;;;12;;;
