USOS;H0320;H0321;H0322;H0323
520;FALSE;;;
521;;;;
522;;;;
523;;;;
524;;;;
525;;;;
526;;;;
527;;;;
528;;;;
529;;;;
530;;;;
531;;;;16
532;;;;12
533;;;;12
534;TRUE;;;16
535;TRUE;;;15
536;TRUE;;;13
537;;;;15
538;;;;22
539;TRUE;;;15
540;TRUE;;;12
541;TRUE;;;16
542;TRUE;;;12
543;TRUE;;;13
544;;;;12
545;;;;
546;;;;80
547;TRUE;;;13
548;TRUE;;;12
549;TRUE;;;26
550;;;;
551;;;;
552;;;;
553;TRUE;;;32
554;TRUE;;;12
555;TRUE;;;40
556;TRUE;;;40
557;TRUE;;;40
558;TRUE;;;15
559;TRUE;;;20
560;TRUE;;;15
561;TRUE;;;10
562;;;;25
563;TRUE;;;42
564;TRUE;;;16
565;TRUE;;;10
566;;;;16
567;TRUE;;;18
568;;;;20
569;;;;80
570;TRUE;;;35
571;;;;15
572;TRUE;;;38
573;;;;50
574;TRUE;;;18
575;;;;10
576;;;;25
577;TRUE;;;25
578;TRUE;;;15
579;;;;15
580;;;;16
581;TRUE;;;16
582;;;;15
583;;;;15
584;;;;30
585;TRUE;;;10
586;;;;15
587;;;;12
588;TRUE;;;12
589;TRUE;;;18
590;;;;40
591;TRUE;;;15
592;;;;18
593;TRUE;;;10
594;TRUE;;;12
595;;;;132000
596;;;;18000
597;;;;24000
598;;;;30000
599;;;;72000
600;;;;30000
601;;;;30000
602;;;;18000
603;;;;40150
604;;;;180100
605;;;;24000
606;;;;53950
607;;;;120000
608;;;;23860
609;;;;120000
610;;;;80000
611;;;;57850
612;;;;87210
613;;;;9830
614;;;;40600
615;;;;48650
616;TRUE;;;45
617;TRUE;;;150
618;;;;21500
619;;;;15
620;;;;22750
621;TRUE;;;250
622;TRUE;;;15
623;;;;50
624;TRUE;;;30
625;TRUE;;;35
626;TRUE;;;55
627;;;;80
628;TRUE;;;85
629;TRUE;;;18
630;TRUE;;;30
631;TRUE;;;51
632;TRUE;;;80
633;TRUE;;;60
634;;;;
635;TRUE;;;50
636;TRUE;;;30
637;TRUE;;;50
638;TRUE;;;40
639;TRUE;;;150
640;TRUE;;13;35
641;TRUE;;;450
642;TRUE;;;120
643;TRUE;;12;50
644;TRUE;;;500
645;TRUE;;;50
646;;;;60000
647;TRUE;;;120
648;TRUE;;16;40
649;TRUE;;;40
650;TRUE;;6;40
651;;;;260000
652;;;;593160
653;TRUE;;6;40
654;;;;56120
655;;;;145000
656;;;;
657;;;;12000
658;;;;25000
659;;;;60000
660;;;;40000
661;;;;30000
662;;;;150000
663;;;;20000
664;;;;30000
665;;;;25000
666;;;;35000
667;;;;30000
668;;;;40000
669;;;;20000
670;;;;20000
671;;;;40000
672;;;;20000
673;;;;25000
674;;;;40000
675;;;;50000
676;;;;45000
677;;;;65000
678;;;;50000
679;;;;50000
680;;;;
681;;;;10000
682;;;;40000
683;;;;50000
684;;;;60000
685;;;;30000
686;;;;30000
687;;;;65000
688;;;;30000
689;;;;65000
690;;;;40000
691;;;;25000
692;;;;30000
693;;;;
694;;;;5000
695;;;;21000
696;;;;35000
697;;;;32720
698;;;;82440
699;;;;20000
700;;;;30000
701;;;;78000
702;;;;75000
703;;;;30000
704;;;;
705;;;;15000
706;;;;
707;;;;20000
708;;;;5000
709;;;;337600
710;;;;
711;;;;
712;;;;
713;;;;3000
714;;;;
715;;;;
716;;;;
717;;;;
718;;;;
719;;;;
720;;;;16000
721;;;;
722;;;;
723;;;;
724;;;;316800
725;;;;61800
726;;;;
727;;;;94200
728;;;;565000
729;;;;
730;;;;61200
731;;;;38760
732;;;;
733;;;;
734;;;;65520
735;;;;65520
736;;;;140880
737;;;;222000
738;;;;688000
739;;;;375000
740;;;;792000
741;;;;188400
742;;;;350000
743;;;;704000
744;;;;6150
745;;;;3
746;;;;2.8
747;;;;2
748;;;;2.5
749;;;;2.7
750;TRUE;;;
751;TRUE;500;;
752;TRUE;;;
753;TRUE;;;
754;;;;
755;;;;
756;;;;
757;;;;
758;;;;
759;;;;
760;;;;
761;TRUE;80;;
762;;;;
763;;;;
764;;;;
765;;;;
766;;;;
767;TRUE;;;
768;;;;
769;;;;
770;;;;
771;;;;
772;TRUE;;60;35
773;TRUE;;;30
774;TRUE;;;35
775;;;;
776;;;;45
777;TRUE;;67;15
778;TRUE;;;50
779;TRUE;;18;50
780;;;;
781;;;;
782;TRUE;;48;40
783;;;;
784;TRUE;;;20
785;;;;
786;TRUE;;;12
787;TRUE;15;8;8640
788;TRUE;30;30;32.4
789;TRUE;7;6;1242
790;;;;1500
791;;;;
792;;;;10000
793;;;;
794;TRUE;;6;1400
795;;;;2000
796;;;;1620
797;;;;
798;;;;
799;;;;10000 
800;;;;14.400
801;;;;32.400 
802;;;;12000 
803;;;;1500
804;;;;1350
805;;;;6000 
806;;;;13500
807;;;;16.200 
808;;;;1400
809;;;;9720
810;;;;14000
811;;;;18.723 
812;;;;7000 
813;;;;18.342 
814;;;;7.128 
815;;;;14.256
816;;;;20000 
817;;;;9000
818;;;;19.440 
819;;;;9.000
820;;;;14.400 
821;;;;12.234 
822;;;;10.000
823;;;;10.000
824;;;;12.500
825;;;;9132
826;;;;8.000
827;;;;8712
828;;;;11.450
829;;;;
830;;;;9234
831;;;;10.000
832;;;;8345
833;;;;
834;;;;11.234
835;;;;11.345
836;;;;10.000
837;;;;11.343
838;;;;10.454 
839;;;;12.000
840;;;;9.000
841;;;;12.000
842;;;;10.000
843;;;;16.000
844;;;;15.000
845;;;;14.000
846;;;;11.000
847;;;;12.000
848;;;;11.000
849;;;;11.000
850;;;;11.000 
851;;;;8.000
852;;;;16.000 
853;;;;11.500
854;;;;13.000 
855;;;;7.000
856;;;;11.000
857;;;;11.000
858;;;;10.000
859;;;;12.000 
860;;;;14.000 
861;;;;12.500
862;;;;14.999 
863;;;;14.000
864;;;;16.500 
865;;;;14.000
866;;;;15.000
867;;;;11.000
868;;;;12.000 
869;;;;125520
870;;;;61200
871;;;;36000
872;;;;24000
873;;;;141120
874;;;;55800
875;;;;19800
876;;;;138780
877;;;;61300
878;;;;24000
879;;;;30275
880;;;;
881;;;;24000
882;;;;99360
883;;;;45000
884;;;;20000
885;;;;
886;;;;23925
887;;;;99360
888;;;;40000
889;;;;2.5
890;;;;3
891;;;;3
892;;;;3
893;TRUE;;;2.4
894;TRUE;;;2.5
895;;;;4
896;;;;4
897;;;;2.5
898;;;;2.5
899;TRUE;;;2.5
