CAD;D0000;B0007;D0002;D0003;D0100;D0101
155;Rio Carius ;9;Não;;-6.6312;-39.666
156;Rio Carius ;9;Não;;-6.6031;-39.4932
157;Rio Carius ;9;Não;;-6.636;-39.6745
158;Rio Carius ;9;Não;;-6.464;-39.4192
159;Rio Carius ;9;Não;;-6.4676;-39.4093
160;Rio Carius ;9;Não;;-6.4903;-39.4385
161;Rio Carius ;9;Não;;-6.464;-39.4192
162;RIO JAGUARIBE;9;Não;;-6.4845;-39.4339
163;RIO JAGUARIBE;9;Não;;-6.4911;-39.3943
164;RIO JAGUARIBE;9;Não;;-6.4645;-39.4154
165;RIO JAGUARIBE;9;Não;;-6.4641;-39.4156
166;RIO JAGUARIBE;9;Não;;-6.5201;-39.4972
167;RIO JAGUARIBE;9;Não;;-6.5108;-39.4637
168;RIO JAGUARIBE;9;Não;;-6.4947;-39.4516
169;RIO JAGUARIBE;9;Não;;-6.5127;-39.4662
170;RIO JAGUARIBE;9;Não;;-6.4937;-39.4469
171;RIO JAGUARIBE;9;Não;;-6.4738;-39.4297
172;RIO JAGUARIBE;9;Não;;-6.4957;-39.4497
173;RIO JAGUARIBE;9;Não;;-6.5119;-39.487
174;RIO JAGUARIBE;9;Não;;-6.4957;-39.4506
175;RIO JAGUARIBE;9;Não;;-6.5009;-39.4549
176;RIO JAGUARIBE;9;Não;;-6.4721;-39.4294
177;RIO JAGUARIBE;9;Não;;-6.4949;-39.452
178;RIO JAGUARIBE;9;Não;;-6.5112;-39.4809
179;RIO JAGUARIBE;9;Não;;-6.4693;-39.4284
180;RIO JAGUARIBE;9;Não;;-6.5114;-39.4791
181;RIO JAGUARIBE;9;Não;;-6.5148;-39.4783
182;POÇO;9;Não;;-6.5236;-39.5095
183;RIO JAGUARIBE;9;Não;;-6.5135;-39.4709
184;RIO JAGUARIBE;9;Não;;-6.4935;-39.4426
185;RIO JAGUARIBE;9;Não;;-6.4647;-39.4141
186;RIO JAGUARIBE;9;Não;;-6.5019;-39.4576
187;RIO JAGUARIBE;9;Não;;-6.4965;-39.4013
188;RIO JAGUARIBE;9;Não;;-6.5048;-39.4837
189;RIO JAGUARIBE;9;Não;;-6.5113;-39.4809
190;RIO JAGUARIBE;9;;;-6.4958;-39.4584
191;RIO JAGUARIBE;9;Não;;-6.5128;-39.4741
192;RIO JAGUARIBE;9;Não;;-6.4679;-39.4107
193;RIO JAGUARIBE;9;Não;;-6.4644;-39.4214
194;RIO JAGUARIBE;9;Não;;-6.5146;-39.4828
195;RIO JAGUARIBE;9;Não;;-6.4937;-39.4488
196;RIO JAGUARIBE;9;Não;;-6.5025;-39.4579
197;RIACHO CANGATI;9;Não;;-6.4867;-39.3944
198;RIACHO CANGATI;9;Não;;-6.5146;-39.3777
199;RIACHO CANGATI;9;Não;;-6.5158;-39.3751
200;RIACHO CANGATI;9;Não;;-6.4845;-39.3942
201;RIACHO CANGATI;9;Não;;-6.5158;-39.3754
202;RIACHO CANGATI;9;Não;;-6.5264;-39.3808
203;RIACHO CANGATI;9;Não;;-6.514;-39.3778
204;RIACHO CANGATI;9;Não;;-6.5146;-39.3765
205;RIACHO CANGATI;9;Não;;-6.5072;-39.3766
206;RIACHO CANGATI;9;Não;;-6.5179;-39.3744
207;RIACHO CANGATI;9;Não;;-6.4888;-39.3939
208;RIACHO CANGATI;9;Não;;-6.4623;-39.4402
209;RIACHO CANGATI;9;Não;;-6.4848;-39.394
210;RIACHO CANGATI;9;Não;;-6.4657;-39.4035
211;RIACHO CANGATI;9;Não;;-47394;-39.3949
212;RIACHO CANGATI;9;Não;;-6.5154;-39.3761
213;RIACHO CANGATI;9;Não;;-6.5137;-39.4663
214;POÇO;9;Sim;;-6.497;-39.4405
215;Rio Bastiões;23;;;-6.6475;-39.7117
216;Rio Bastiões;23;;;-6.6699;-39.7496
217;Rio Bastiões;23;;;-6.6623;-39.7388
218;Rio Bastiões;23;;;-6.6784;-39.7597
219;Rio Bastiões;23;Não;;-6.6629;-39.7402
220;Rio Bastiões;23;;;-6.6743;-39.7577
221;Riacho do Urucu;23;Não;;-6.7207;-39.7558
222;Rio Bastiões;23;;;-6.6572;-39.7315
223;Rio Bastiões;23;;;-6.6535;-39.7191
224;Rio Bastiões;23;;;-6.6537;-39.7214
225;Açude do Riacho Verde;23;Não;;-6.7502;-39.7804
226;Riacho do Logradouro;23;;;-6.7129;-39.7446
227;Rio Bastiões;23;;;-6.6538;-39.7214
228;Riacho Verde com Riacho do Saquinho;23;Não;;-6.7434;-39.7739
229;Riacho do Urucu com Tapu;23;Não;;-6.7214;-39.757
230;Açude do Riacho Verde;23;Não;;-6.7587;-39.7855
231;Rio Bastiões;23;Não;;-0.671;-39.7994
232;Açude do Riacho Verde;23;Não;;-6.7501;-39.7807
233;Rio Bastiões;23;Não;;-6.6939;-39.7655
234;Riacho Grande;23;Não;;-6.7595;-39.784
235;Barragem do Riacho Verde;23;Não;;-6.7491;-39.7742
236;Rio Bastiões;23;Não;;-6.703;-39.787
237;Riacho do Taipu;23;Não;;-6.7133;-39.7447
238;Açude do Riacho Verde;23;Não;;-6.7588;-39.7861
239;Riacho do Urucu;23;Não;;-6.7234;-39.7624
240;Açude do Riacho Verde;23;Não;;-6.7521;-39.7817
241;Rio Bastiões;23;Não;;-6.6743;-39.7526
242;Rio Bastiões;23;Não;;-6.6842;-39.7593
243;Rio Bastiões;23;Não;;-6.6965;-39.7705
244;Açude da Timbaubinha;23;Não;;-6.6375;-39.766
245;Rio Bastiões;23;Não;;-6.6836;-39.7656
246;Rio bastiões / Riacho dos Oitis;23;Não;;-6.6815;-39.7581
247;Rio Bastiões;23;Não;;-6.662;-39.7337
248;Rio Bastiões;23;Não;;-6.6724;-39.749
249;Açude da Cajazeiras do Sampaio;23;Não;;-6.6341;-39.7582
250;Rio Bastiões;23;Não;;-6.6927;-39.765
251;Açude do Urucuzinho;23;Não;;-6.7274;-39.74
252;Açude do Zé Ilson;23;Não;;-6.6338;-39.7366
253;Açude da Cajazeiras do Sampaio;23;Não;;-6.6335;-39.7542
254;Riacho do Urucuzinho;23;Não;;-6.7307;-39.7372
255;Riacho e Açude do Urucuzinho;23;Não;;-6.7305;-39.7372
256;Açude do Nego Justino;23;Não;;-6.6314;-39.7488
257;Açude do Antonio Luis;23;Não;;-6.6387;-39.734
258;Riacho do Urucuzinho;23;Não;;-6.7385;-39.725
259;Rio Bastiões;23;Não;;-6.7126;-39.7974
260;Açude do João da Rita;23;Não;;-6.7338;-39.7315
261;Rio Bastiões;23;Não;;-6.7329;-39.8355
262;Rio Bastiões;23;Não;;-6.6453;-39.7035
263;Rio Bastiões;23;Não;;-6.7329;-39.8355
