CAD;D0000;B0007;D0002;D0003;D0100;D0101
951;POÇO;13;;;-6.4543;-39.3845
952;POÇO;13;;;-6.452;-39.3809
953;POÇO;13;;;-6.4616;-39.4015
954;POÇO;13;Não;;-6.4522;-39.3888
955;POÇO;13;Não;;-6.4627;-39.3964
956;;13;;;;
957;POÇO;13;;;-6.4515;-39.3807
958;POÇO;13;;;-6.4601;-39.3927
959;POÇO;13;Não;;-6.4574;-39.3965
960;POÇO;13;;;-6.4491;-39.3811
961;POÇO;13;;;-6.4525;-39.3815
962;POÇO;13;;;-6.4563;-39.3884
963;POÇO;13;;;-6.4409;-39.3472
964;POÇO;13;;;-6.4574;-39.3965
965;POÇO;13;;;-6.4526;-39.9818
966;RIO JAGUARIBE;13;;;-6.455;-39.387
967;POÇO;13;;;-6.4546;-39.3862
968;POÇO;13;;;-6.4608;-39.3967
969;POÇO;13;;;-6.4474;-39.377
970;POÇO;13;;;-6.4398;-39.3456
971;POÇO;13;;;-6.4371;-39.3417
972;POÇO;13;;;-6.4346;-39.3433
973;POÇO;13;;;-6.4383;-39.3434
974;POÇO;13;;;-6.4397;-39.3455
975;POÇO;13;;;-6.4394;-39.343
976;POÇO;13;;;-6.4391;-39.3446
977;POÇO;13;;;-6.4345;-39.3433
978;POÇO;13;;;-6.4373;-39.3462
979;POÇO;13;;;-6.4381;-39.3431
980;POÇO;13;;;-6.4343;-39.3386
981;POÇO;13;;;-6.4526;-39.3892
982;POÇO;13;;;-6.4432;-39.3575
983;POÇO;13;;;-6.4452;-39.3656
984;POÇO;13;;;-6.4413;-39.3506
985;POÇO;13;;;-6.443;-39.3593
986;POÇO;13;;;-6.4417;-39.3492
987;POÇO;13;;;-6.4417;-39.3527
988;POÇO;13;;;-6.4454;-39.3695
989;POÇO;13;;;-6.4347;-39.3383
990;POÇO;13;;;-6.4527;-39.3563
991;POÇO;13;;;-6.4548;-39.3628
992;POÇO;13;;;-6.4527;-39.3563
993;POÇO;13;;;-6.4525;-39.3558
994;POÇO;13;;;-6.4525;-39.3558
995;POÇO;13;;;-6.4528;-39.3567
996;POÇO;13;;;-6.4528;-39.3567
997;POÇO;13;;;-6.4528;-39.3567
998;POÇO;13;;;-6.4516;-39.3594
999;POÇO;13;;;-6.4516;-39.3594
1000;POÇO;13;;;-6.4516;-39.3594
1001;POÇO;13;;;-6.4516;-39.3594
1002;POÇO;13;;;-6.4545;-39.3595
1003;POÇO;13;;;-6.4551;-39.3638
1004;POÇO;13;;;-6.4551;-39.3638
1005;POÇO;13;;;-6.4418;-39.3491
1006;POÇO;13;;;-6.4418;-39.3491
1007;POÇO;13;;;-6.4418;-39.3491
1008;POÇO;13;;;-6.4311;-39.3344
1009;POÇO;13;;;-6.4316;-39.3367
1010;POÇO;13;;;-6.4316;-39.3367
1011;POÇO;13;;;-6.434;-39.3379
1012;POÇO;13;;;-6.4345;-39.338
1013;POÇO;13;;;-6.4342;-39.3375
1014;POÇO;13;;;-6.4403;-39.3329
1015;POÇO;13;;;-6.4403;-39.333
1016;POÇO;13;;;-6.435;-39.3393
1017;POÇO TUBULAR;13;;;-6.4305;-39.3399
1018;POÇO;13;;;-6.4335;-39.3357
1019;POÇO;13;;;-6.4335;-39.3357
1020;POÇO;13;;;-6.4309;-39.3362
1021;POÇO;13;;;-6.4309;-39.3362
1022;POÇO;13;;;-6.4309;-39.3362
1023;POÇO;13;;;-6.4309;-39.3362
1024;POÇO;13;;;-6.4309;-39.3362
1025;POÇO;13;;;-6.434;-39.3343
1026;POÇO;13;;;-6.4362;-39.3358
1027;POÇO;13;;;-6.4293;-39.3383
1028;POÇO;13;;;-6.4288;-39.3378
1029;POÇO;13;;;-6.4365;-39.3458
1030;POÇO;13;;;-6.4335;-39.3418
1031;POÇO;13;;;-6.4335;-39.3418
1032;POÇO;13;;;-6.4335;-39.3418
1033;POÇO;13;;;-6.4338;-39.3419
1034;POÇO;13;;;-6.4362;-39.3407
1035;POÇO;13;;;-6.4358;-39.3411
1036;POÇO;13;;;-6.441;-39.3479
1037;POÇO;13;;;-6.441;-39.3479
1038;POÇO;13;;;-6.4365;-39.341
1039;POÇO;13;;;-6.4378;-39.3414
1040;POÇO;13;;;-6.4378;-39.3414
1041;POÇO;13;;;-6.4378;-39.3414
1042;POÇO;13;;;-6.4356;-39.3401
1043;POÇO;13;;;-6.4335;-39.3441
1044;POÇO;13;;;-6.4301;-39.3319
1045;POÇO;13;;;-6.4333;-39.3297
1046;POÇO;13;;;-6.4337;-39.33
1047;POÇO;13;;;-6.4321;-39.3314
1048;POÇO;13;;;-6.4309;-39.3321
1049;POÇO;13;;;-6.4313;-39.3319
1050;POÇO;13;;;-6.4317;-39.3318
1051;POÇO;13;;;-6.4309;-39.3325
1052;POÇO;13;;;-6.4304;-39.3325
1053;POÇO;13;;;-6.4306;-39.3321
1054;POÇO;13;;;-6.4257;-39.3405
1055;POÇO;13;;;-6.4264;-39.34
1056;CACIMBAO;13;;;-6.4298;-39.3378
1057;POÇO;13;;;-6.4296;-39.338
1058;POÇO;13;;;-6.4343;-39.3386
1059;Poço ;13;;;-6.4287;-39.3292
1060;Poço ;13;;;-6.4287;-39.3292
1061;Poço ;13;;;-6.4287;-39.3292
1062;Poço ;13;;;-6.4344;-39.3259
1063;Poço ;13;;;-6.4291;-39.3301
1064;Poço ;13;;;-6.428;-39.3285
1065;Poço ;13;;;-6.4323;-39.3253
1066;Poço ;13;;;-6.4232;-39.3121
1067;Poço ;13;;;-6.4227;-39.3128
1068;Poço ;13;;;-6.4272;-39.3175
1069;Poço ;13;;;-6.4272;-39.3159
1070;POÇO;13;;;-6.4329;-39.3341
1071;POÇO;13;;;-6.4351;-39.3395
1072;POÇO;13;;;-6.4357;-39.3391
1073;POÇO;13;;;-6.4536;-39.3903
1074;POÇO;13;;;-6.4555;-39.4029
1075;POÇO;13;;;-6.4561;-39.394
1076;POÇO;13;;;-6.4562;-39.3926
1077;POÇO;13;;;-6.4533;-39.391
1078;POÇO;13;;;-6.4543;-39.3846
1079;POÇO;13;;;-6.4601;-39.3929
1080;POÇO;13;;;-6.4543;-39.3908
1081;POÇO;13;;;-6.4563;-39.3884
1082;POÇO;13;;;-6.4595;-39.3931
1083;POÇO;13;;;-6.4526;-39.3892
1084;POÇO;13;;;-6.4608;-39.3967
1085;POÇO;13;;;-6.4543;-39.3845
1086;POÇO;13;Não;;-6.452;-39.3809
1087;RIO JAGUARIBE;13;Não;;-6.4616;-39.4015
1088;POÇO AMAZONA;13;Não;;-6.4522;-39.3888
1089;POÇO;13;Não;;-6.4627;-39.3964
1090;POÇO;13;Não;;;
1091;POÇO;13;Não;;-6.4515;-39.3807
1092;POÇO;13;Não;;-6.4601;-39.3927
1093;RIO JAGUARIBE;13;Não;;-6.4574;-39.3965
1094;RIO ;13;Não;;-6.4491;-39.3819
1095;POCO;13;Não;;-6.4525;-39.3811
1096;POÇO;13;Não;;-6.4563;-39.3884
1097;POÇO;13;Não;;-6.4409;-39.3472
1098;RIO JAGUARIBE;13;Não;;-6.4574;-39.3965
1099;POÇO;13;;;-6.4526;-39.9818
1100;POÇO;13;;;-6.455;-39.387
1101;POÇO;13;;;-6.4546;-39.3862
1102;POÇO;13;;;-6.4608;-39.3967
1103;POÇO;13;;;-6.4474;-39.377
1104;POÇO;13;;;-6.4398;-39.3456
1105;POÇO;13;;;-6.4371;-39.3417
1106;POÇO;13;;;-6.4346;-39.3434
1107;POÇO;13;;;-6.4383;-39.3434
1108;POÇO;13;;;-6.4397;-39.3455
1109;POÇO;13;;;-6.4394;-39.343
1110;POÇO;13;;;-6.4391;-39.3446
1111;POÇO;13;;;-6.4345;-39.3433
1112;POÇO;13;;;-6.4373;-39.3462
1113;POÇO;13;;;-6.4381;-39.3431
1114;POÇO;13;;;-6.4343;-39.3386
1115;POÇO;13;;;-6.4526;-39.3892
1116;POÇO;13;;;-6.4432;-39.3575
1117;POÇO;13;;;-6.4452;-39.3656
1118;POÇO;13;;;-6.4413;-39.3507
1119;POÇO;13;;;-6.443;-39.3593
1120;POÇO;13;;;-6.4416;-39.3492
1121;POÇO;13;;;-6.4415;-39.3527
1122;POÇO;13;;;-6.4454;-39.3695
1123;POÇO;13;;;-6.4347;-39.3383
1124;POÇO;13;;;-6.4527;-39.3563
1125;POÇO;13;;;-6.4548;-39.3628
1126;POÇO;13;;;-6.4527;-39.3563
1127;POÇO;13;;;-6.4525;-39.3558
1128;Poço ;13;;;-6.4525;-39.3558
1129;Poço ;13;;;-6.4528;-39.3567
1130;Poço ;13;;;-6.4528;-39.3567
1131;Poço ;13;;;-6.4528;-39.3567
1132;Poço ;13;;;-6.4516;-39.3594
1133;Poço ;13;;;-6.4516;-39.3594
1134;POÇO;13;;;-6.4516;-39.3594
1135;POÇO;13;;;-6.4516;-39.3594
1136;POÇO;13;;;-6.4545;-39.3595
1137;POÇO;13;;;-6.4551;-39.3638
1138;POÇO;13;;;-6.4551;-39.3638
1139;POÇO;13;;;-6.4418;-39.3491
1140;POÇO;13;;;-6.4418;-39.3491
1141;POÇO;13;;;-6.4418;-39.3491
1142;POÇO;13;;;-6.4311;-39.3344
1143;POÇO;13;;;-6.4316;-39.3367
1144;POÇO;13;;;-6.4316;-39.3367
1145;POÇO;13;;;-6.434;-39.3379
1146;POÇO;13;;;-6.4345;-39.338
1147;POÇO;13;;;-6.4342;-39.3375
1148;POÇO;13;;;-6.4403;-39.3329
1149;POÇO;13;;;-6.4403;-39.333
1150;POÇO;13;;;-6.435;-39.3391
1151;POÇO;13;;;-6.4305;-39.3392
1152;POÇO;13;;;-6.4335;-39.3357
1153;POÇO;13;;;-6.4335;-39.3357
1154;POÇO;13;;;-6.4309;-39.3362
1155;POÇO;13;;;-6.4309;-39.3362
1156;POÇO;13;;;-6.4309;-39.3362
1157;POÇO;13;;;-6.4309;-39.3362
1158;POÇO;13;;;-6.4309;-39.3362
1159;POÇO;13;;;-6.434;-39.3343
1160;POÇO;13;;;-6.4362;-39.3358
1161;POÇO;13;;;-6.4293;-39.3383
1162;POÇO;13;;;-6.4288;-39.3378
1163;POÇO;13;;;-6.4365;-39.3458
1164;POÇO;13;;;-6.4335;-39.3418
1165;POÇO;13;;;-6.4335;-39.3418
1166;POÇO;13;;;-6.4335;-39.3418
1167;POÇO;13;;;-6.4338;-39.3419
1168;POÇO;13;;;-6.4362;-39.3407
1169;POÇO TUBULAR;11;;;-6.9208;-39.5765
1170;POÇO TUBULAR;11;;;-6.9164;-39.5698
1171;POÇO;11;;;-6.9086;-39.5683
1172;POÇO;11;;;-6.9071;-39.5674
1173;POÇO;11;;;-6.8709;-39.5495
1174;POÇO ;11;;;-6.9105;-39.5656
1175;POÇO;11;;;-6.9163;-39.5666
1176;POÇO;11;;;-6.9105;-39.5657
1177;POÇO;11;;;-6.8965;-39.5589
1178;POÇO;11;;;-6.9104;-39.567
1179;POÇO;11;;;-6.9014;-39.5641
1180;POÇO;11;;;-6.8964;-39.5589
1181;POÇO;11;;;-6.8944;-39.5588
1182;POÇO;11;;;-6.8965;-39.5589
1183;POÇO;11;;;-6.8964;-39.5589
1184;POÇO;11;;;-6.8987;-39.5464
1185;POÇO;11;;;-6.8875;-39.5548
1186;POÇO;11;;;-6.8697;-39.5463
1187;POÇO;11;;;-6.8874;-39.5531
1188;POÇO;11;;;-6.8964;-39.5589
1189;CACIMBAO;11;;;-6.8921;-39.5569
1190;;11;;;-6.9104;-39.5672
1191;CACIMBAO;1;;;-6.1014;-39.2118
1192;CACIMBAO;1;;;-6.0991;-39.2078
1193;CACIMBAO;1;;;-6.1014;-39.2118
1194;CACIMBAO;1;;;-6.1035;-39.2087
1195;CACIMBAO;1;;;-6.1014;-39.2118
1196;CACIMBAO;1;;;-6.1035;-39.2087
1197;CACIMBAO;1;Não;;-6.0987;-39.2075
1198;CACIMBAO;1;;;-6.1014;-39.2114
1199;POÇO;1;;;-6.1022;-39.2115
1200;CACIMBAO;1;;;-6.1015;-39.2084
1201;CACIMBAO;1;;;-6.1046;-39.2092
1202;POÇO;1;;;-6.1061;-39.2118
1203;POÇO;1;;;-6.1095;-39.2105
1204;POÇO;1;;;-6.0966;-39.2151
1205;POÇO;1;;;-6.1047;-39.2088
1206;CACIMBAO;1;;;-6.1045;-39.2088
1207;CACIMBAO;1;;;-6.1007;-39.2117
1208;CACIMBAO;1;;;-6.1022;-39.2087
1209;CACIMBA;1;;;-6.0998;-39.2104
1210;POÇO;26;;;-59109;-39.2157
1211;POÇO;26;;;-58173;-39.2289
1212;POÇO;26;;;-52242;-39.2242
1213;;26;;;-59270;-39.2020
1214;POÇO;26;;;-59269;-39.2020
1215;POÇO;26;;;-59319;-39.2026
1216;POÇO;26;;;-58181;-39.2433
1217;POÇO;26;;;-59088;-39.2191
1218;POÇO;26;;;-59199;-39.2054
1219;POÇO;26;;;-58111;-39.1897
1220;POÇO;26;;;-59103;-39.2159
1221;POÇO;26;;;-59092;-39.2188
1222;POÇO;26;;;-59172;-39.1994
1223;POÇO;26;;;-58180;-39.2432
1224;POÇO;26;;;-59196;-39.2028
1225;POÇO;26;;;-59067;-39.2157
1226;POÇO;26;;;-59074;-39.2161
1227;AÇUDE;26;;;-58130;-39.2267
1228;POÇO;26;;;-59110;-39.2156
1229;;26;;;-59248;-39.2022
1230;AÇUDE;26;;;-57992;-39.2533
1231;;26;;;-59104;-39.2159
1232;POÇO;26;;;-58173;-39.2289
1233;AÇUDE;26;;;-58193;-39.2359
1234;AÇUDE;26;;;-57972;-39.2574
1235;AÇUDE;26;;;-57975;-39.2576
1236;POÇO;26;;;-58180;-39.2432
1237;cacimbão;33;;;-6.0512;-38.4872
1238;cacimbão ;33;;;-6.0544;-38.4943
1239;CACIMBÃO ;33;;;-6.0544;-38.4944
1240;cacimba;33;;;-6.0504;-38.4892
1241;cisterna;33;;;-6.5180;-38.4892
1242;cacimba;33;;;-6.0500;-38.4895
1243;cacimba ;33;;;-6.0514;-38.4925
1244;cacimbão ;33;;;-6.0536;-38.4946
1245;cacimbão ;33;;;-6.0525;-38.4937
1246;cisterna;33;;;-6.0529;-38.4874
1247;cacimbão ;33;;;-6.0506;-38.4886
1248;cacimba ;33;;;-6.0513;-38.4928
1249;cacimbão ;33;;;-6.0455;-38.4964
1250;Cacimbão;33;Não;;-59787;-38.4286
1251;Cacimbão;33;Não;;-59840;-38.4319
1252;cacimba ;33;;;-6.0539;-38.4987
1253;cisterna ;33;;;-6.0528;-38.4986
1254;cisterna ;33;;;-6.0519;-38.4981
1255;Cacimbão;33;Não;;-59761;-38.4251
1256;Cacimbão;33;;;-6.0523;-38.4932
1257;cisterna ;33;;;-6.0521;-38.4983
1258;cisterna;33;;;-6.0370;-38.4941
1259;cisterna ;33;;;-6.0526;-38.4979
1260;Poço;35;Não;;-52675;-38.2618
1261;Açude;28;Não;;-57139;-38.2888
1262;Cacimbão;28;Não;;-57991;-38.3912
1263;Cacimba ;28;;;-57837;-38.3247
1264;Cacimbão;28;Não;;-57837;-38.3744
1265;Cacimbão;28;Não;;-57853;-38.3759
1266;Açude;28;Não;;-57090;-38.2850
1267;Cacimbão;28;Não;;-57854;-38.3354
1268;Poço profundo;28;Não;;-59028;-38.3542
1269;Cacimba;28;;;-57837;-38.3251
1270;Cacimbão;28;Não;;-59066;-38.3585
1271;Cacimbão;28;Não;;-57824;-38.3732
1272;Cacimbão;28;Não;;-57865;-38.3342
1273;Cacimbão;28;Não;;-57817;-38.3375
1274;Cacimbão;28;Não;;-57826;-38.3368
1275;Cacimbão;28;Não;;-57985;-38.3856
1276;Cacimbão;28;Não;;-58786;-38.3452
1277;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56814;-38.6794
1278;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56773;-38.6759
1279;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56922;-38.6882
1280;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56866;-38.6804
1281;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56862;-38.6856
1282;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56890;-38.6828
1283;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56871;-38.6885
1284;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56805;-38.6789
1285;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56834;-38.6768
1286;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56867;-38.6859
1287;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56848;-38.6798
1288;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56852;-38.6798
1289;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56852;-38.6798
1290;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-57020;-38.6897
1291;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56855;-38.6850
1292;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56830;-38.6822
1293;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56873;-38.6866
1294;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;;-56763;-38.6717
1295;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56795;-38.6783
1296;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56803;-38.6758
1297;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56837;-38.6802
1298;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56873;-38.6866
1299;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56829;-38.6880
1300;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56787;-38.6749
1301;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56951;-38.6883
1302;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56890;-38.6828
1303;CANAL DO PERIMETRO IRRIGADO DO ALAGAMAR;29;Sim;7292433/2014;-56837;-38.6802
1304;Cisterna;25;Não;;-54192;-38.2921
1305;Cisterna;25;Não;;-54207;-38.2681
1306;Cisterna;25;Não;;-54193;-38.2921
1307;Cisterna;25;Não;;-54492;-38.2545
1308;Cisterna;25;Não;;-54245;-38.2902
1309;Cisterna;25;Não;;-54621;-38.2796
1310;Poço;25;Sim;;-55144;-38.2756
1311;poço;25;Sim;;-55140;-38.2732
1312;Cacimbão;25;Não;;-54330;-38.2676
1313;Cisterna;25;Não;;-54260;-38.2845
1314;Cisterna;25;Não;;-54299;-38.2639
1315;Cisterna;25;Não;;-54255;-38.2650
1316;Cacimbão;25;Não;;-54310;-38.2657
1317;Cacimbão;25;Não;;-54267;-38.2881
1318;Cisterna ;25;Não;;-54329;-38.2675
1319;Cisterna;25;Não;;-54256;-38.2853
1320;Cisterna;25;Não;;-54083;-38.3000
1321;Cisterna;25;Não;;-54330;-38.2844
1322;Cacimbão;25;Não;;-54511;-38.2518
1323;Cisterna;25;Não;;-54300;-38.2846
1324;poço;25;Não;;-54367;-38.2739
1325;Cacimbão;25;Não;;-54143;-38.2683
1326;Cisterna;25;Não;;-54282;-38.2822
1327;Cisterna;25;Não;;-54525;-38.2576
1328;Açude;25;Não;;-54300;-38.2847
1329;Cisterna;25;Não;;-54292;-38.2811
1330;Açude;25;Não;;-54338;-38.2857
1331;Cisterna;25;Não;;-54223;-38.2846
1332;Cisterna;25;Não;;-54327;-38.2676
1333;Poço Tubular;25;Não;;-54328;-38.2730
1334;poço tubular;25;Não;;-54413;-38.2644
1335;Rio Figueiredo ;25;Não;;-54324;-38.2850
1336;Cacimbão;25;Não;;-54374;-38.2724
1337;Poço Tubular;25;Não;;-54374;-38.2724
1338;Cacimbão;25;Não;;-54327;-38.2678
1339;Cacimbão;25;Não;;-54436;-38.2596
1340;Açude;25;Não;;-54324;-38.2850
1341;Cisterna;25;Não;;-54409;-38.2609
1342;Cacimbão;25;Não;;-54372;-38.2741
1343;Cisterna;34;Não;;-56762;-38.2155
1344;Cisterna;34;Não;;-56969;-38.2000
1345;poço profundo;34;Não;;-56831;-38.2184
1346;Cisterna;34;Não;;-56987;-38.1937
1347;Riacho do Sangue;36;Não;;-56782;-38.9193
1348;Riacho do Sangue;36;Não;;-56808;-38.9229
1349;Cacimbão;36;Não;;-56739;-38.9126
1350;Açude;36;Não;;-56692;-38.9116
1351;Açude do pontal;36;Não;;-58269;-38.1241
1352;Riacho do Sangue;36;Não;;-56908;-38.9337
1353;Cacimbão;36;Não;;-56769;-38.9154
1354;Riacho Sangue;36;Não;;-56702;-38.9203
1355;;32;Não;;-56957;-39.2132
1356;;32;Não;;-56972;-39.2195
1357;;32;;;-57030;-39.2249
1358;;32;Não;;-57000;-39.2221
1359;;32;Não;;-56993;-39.2285
1360;;32;Não;;-57363;-39.2378
1361;;32;;;-56975;-39.2194
1362;;32;Não;;-57360;-39.2232
1363;;32;;;-56559;-39.2141
1364;;32;;;-56998;-39.2223
1365;;32;;;-57190;-39.2305
1366;;32;Não;;-57420;-39.2561
1367;;32;Não;;-57394;-39.2121
1368;;32;Não;;-57366;-39.2503
1369;;32;Não;;-56965;-39.2192
1370;;32;Não;;-57353;-39.2246
1371;MEDIO JAGUARIBE;31;;;-6.0338;-38.6635
1372;MEDIO JAGUARIBE;31;;;-6.0095;-38.6658
1373;MEDIO JAGUARIBE;31;;;-6.0090;-38.6656
1374;MEDIO JAGUARIBE;31;;;-6.0148;-38.6658
1375;MEDIO JAGUARIBE;31;;;-6.0346;-38.6637
1376;MEDIO JAGUARIBE;31;Não;;-6.0162;-38.6663
1377;MEDIO JAGUARIBE;31;Não;;-6.0206;-38.6649
1378;MEDIO JAGUARIBE;31;Não;;-6.0143;-38.6660
1379;MEDIO JAGUARIBE;31;Não;;-6.0135;-38.6659
1380;MEDIO JAGUARIBE;31;Não;;-6.0122;-38.6658
1381;RIO JAGUARIBE;31;;;-59074;-38.6371
1382;RIO JAGUARIBE;31;;;-59115;-38.6406
1383;RIO JAGUARIBE;31;;;-59108;-38.6408
1384;RIO JAGUARIBE;31;;;-59108;-38.6408
1385;RIO JAGUARIBE;31;;;-59224;-38.6478
1386;RIO JAGUARIBE;31;;;-59236;-38.6485
1387;RIO JAGUARIBE;31;;;-59245;-38.6491
1388;RIO JAGUARIBE;31;;;-59204;-38.6513
1389;RIO JAGUARIBE;31;;;-59317;-38.6531
1390;RIO JAGUARIBE;31;;;-59392;-38.6567
1391;RIO JAGUARIBE;31;;;-59454;-38.6582
1392;RIO JAGUARIBE;31;;;-59513;-38.6585
1393;RIO JAGUARIBE;31;;;-59661;-38.6625
1394;RIO JAGUARIBE;31;;;-59707;-38.6626
1395;RIO JAGUARIBE;31;;;-59759;-38.6616
1396;RIO JAGUARIBE;31;;;-59885;-38.6627
1397;RIO JAGUARIBE;31;;;-59890;-38.6626
1398;RIO JAGUARIBE;31;;;-59899;-38.6623
1399;RIO JAGUARIBE;31;;;-59924;-38.6614
1400;RIO JAGUARIBE;31;;;-59931;-38.6629
1401;RIO JAGUARIBE;31;;;-59919;-38.6286
1402;RIO JAGUARIBE;31;;;-59283;-38.6515
1403;RIO JAGUARIBE;31;;;-59245;-38.6491
1404;RIO JAGUARIBE;31;;;-59236;-38.6484
1405;RIO JAGUARIBE;31;;;-59270;-38.6513
1406;RIO JAGUARIBE;31;;;-59254;-38.6500
1407;RIO JAGUARIBE;31;;;-6.0424;-38.6646
1408;RIO JAGUARIBE;31;;;-6.0388;-38.6648
1409;MEDIO JAGUARIBE;31;Não;;-4116;-6.64789
1410;CACMBAO;31;;;-6.0568;-38.6726
1411;CACIMBAO;31;;;-6.0605;-38.6769
1412;CACIMBAO;31;;;-6.0578;-38.6733
1413;CIMBAO;31;;;-6.0558;-38.6720
1414;CACIMBAO;31;;;-6.0585;-38.6742
1415;ACIMBAO;31;;;-6.0562;-38.6722
1416;POÇO;31;;;-6.0568;-38.6726
1417;;31;;;-6.0589;-38.6871
1418;POÇO;31;;;-6.0531;-38.6667
1419;POÇO;31;;;-6.0544;-38.6672
1420;RIO;31;;;-6.0660;-38.6943
1421;RIO;31;;;-6.0581;-38.6871
1422;RIO;31;;;-6.0590;-38.6871
1423;;31;;;-6.0647;-38.6909
1424;;31;;;-6.0459;-38.6673
1425;CACIMBAO;31;;;-6.0462;-38.6669
1426;POÇO;31;;;-6.0511;-38.6648
1427;RIO;31;;;-6.0459;-38.6673
1428;POÇO;31;;;-6.0219;-38.6653
1429;;31;;;-6.0454;-38.6649
1430;POÇO;31;;;-6.0250;-38.6677
1431;POÇO;31;;;-6.0241;-38.6674
1432;POÇO;31;;;-6.0454;-38.6649
1433;;31;;;-6.0459;-38.6673
1434;CACIMBAO;31;;;-6.0459;-38.6673
1435;POÇO;31;;;-6.0459;-38.6649
1436;POÇO;31;;;-6.0248;-38.6679
1437;POÇO;31;;;-6.0374;-38.6638
1438;POÇO;31;;;-6.0310;-38.6659
1439;POÇO;31;;;-6.0371;-38.6637
1440;POÇO;31;;;-6.0340;-38.6636
1441;POÇO;31;;;-6.0343;-38.6637
1442;POÇO;31;;;-6.0285;-38.6661
1443;POÇO;31;;;-6.0310;-38.6659
1444;POÇO;31;;;-6.0249;-38.6672
1445;POÇO;31;;;-6.0388;-38.6645
1446;POÇO;31;;;-6.0310;-38.6659
1447;POÇO;31;;;-6.0394;-38.6649
1448;POÇO;31;;;-6.0414;-38.6647
1449;POÇO;31;;;-6.0420;-38.6645
1450;POÇO;31;;;-6.0417;-38.6625
1451;POÇO;31;;;-6.0394;-38.6649
1452;POÇO;31;;;-6.0407;-38.6648
1453;POÇO;31;;;-6.0396;-38.6649
1454;POÇO;31;;;-6.0403;-38.6649
1455;POÇO;31;;;-6.0411;-38.6648
1456;POÇO;31;;;-6.0398;-38.6649
1457;POÇO;31;;;-6.0311;-38.6642
1458;RIO JAGUARIBE;31;;;-59789;-38.6749
1459;POÇO;31;;;-6.0238;-38.6681
1460;RIO;31;;;-59879;-38.6752
1461;POÇO;31;;;-6.0389;-38.6648
1462;POÇO;31;;;-6.0369;-38.6637
1463;POÇO;31;;;-30230;-38.6658
1464;;31;;;-59917;-38.6763
1465;RIO JAGUARIBE;31;;;-59736;-38.6744
1466;RIO JAGUARIBE;31;;;-59811;-38.6751
1467;RIO;31;;;-57140;-38.6740
1468;RIO;31;;;-59479;-38.6718
1469;RIO;31;;;-59183;-38.6577
1470;RIO;31;;;-59171;-38.6565
1471;RIO;31;;;-59353;-38.6644
1472;RIO;31;;;-59342;-38.6641
1473;RIO JAGUARIBE;31;;;-59609;-38.6763
1474;RIO;31;;;-59295;-38.6634
1475;RIO;31;;;-59976;-38.6755
1476;RIO JAGUARIBE;31;;;-59713;-38.6749
1477;POÇO;31;;;-6.0169;-38.6696
1478;POÇO;31;;;-6.0104;-38.6668
1479;RIO;31;;;-6.0028;-38.6654
1480;POÇO;31;;;-6.0107;-38.6667
1481;POÇO;31;;;-6.0108;-38.6667
1482;POÇO;31;;;-6.9976;-38.6590
1483;RIO;31;;;-59970;-38.6759
1484;RIO;31;;;-59222;-38.6587
